Image, KNN Similarity (%), HTM Similarity (%)
ReconstructedSDR_144, 88.47, 88.64
ReconstructedSDR_145, 84.33, 84.92
ReconstructedSDR_146, 0.00, 0.00
ReconstructedSDR_147, 0.00, 0.00
ReconstructedSDR_148, 0.00, 0.00
ReconstructedSDR_149, 0.00, 0.00
ReconstructedSDR_150, 83.27, 85.34
ReconstructedSDR_151, 0.00, 0.00
ReconstructedSDR_152, 86.36, 86.97
ReconstructedSDR_153, 88.47, 88.64
ReconstructedSDR_154, 84.33, 84.92
ReconstructedSDR_155, 0.00, 0.00
ReconstructedSDR_156, 0.00, 0.00
ReconstructedSDR_157, 0.00, 0.00
ReconstructedSDR_158, 0.00, 0.00
ReconstructedSDR_159, 83.27, 85.34
ReconstructedSDR_160, 0.00, 0.00
ReconstructedSDR_161, 86.36, 86.97
ReconstructedSDR_162, 88.47, 88.64
ReconstructedSDR_163, 84.33, 84.92
ReconstructedSDR_164, 0.00, 0.00
ReconstructedSDR_165, 0.00, 0.00
ReconstructedSDR_166, 0.00, 0.00
ReconstructedSDR_167, 0.00, 0.00
ReconstructedSDR_168, 83.27, 85.34
ReconstructedSDR_169, 0.00, 0.00
ReconstructedSDR_170, 86.36, 86.97
ReconstructedSDR_171, 88.47, 88.64
ReconstructedSDR_172, 84.33, 84.92
ReconstructedSDR_173, 0.00, 0.00
ReconstructedSDR_174, 0.00, 0.00
ReconstructedSDR_175, 0.00, 0.00
ReconstructedSDR_176, 0.00, 0.00
ReconstructedSDR_177, 83.27, 85.34
ReconstructedSDR_178, 0.00, 0.00
ReconstructedSDR_179, 86.36, 86.97
ReconstructedSDR_180, 88.47, 88.64
ReconstructedSDR_181, 84.33, 84.92
ReconstructedSDR_182, 0.00, 0.00
ReconstructedSDR_183, 0.00, 0.00
ReconstructedSDR_184, 0.00, 0.00
ReconstructedSDR_185, 0.00, 0.00
ReconstructedSDR_186, 83.27, 85.34
ReconstructedSDR_187, 0.00, 0.00
ReconstructedSDR_188, 86.36, 86.97
ReconstructedSDR_189, 88.47, 88.64
ReconstructedSDR_190, 84.33, 84.92
ReconstructedSDR_191, 0.00, 0.00
ReconstructedSDR_192, 0.00, 0.00
ReconstructedSDR_193, 0.00, 0.00
